2021-02-09 01:22:58,551 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:23:03,556 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:23:08,559 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:23:13,562 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:23:18,566 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:23:23,570 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:23:28,574 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:23:33,578 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:23:38,582 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:23:43,587 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:23:48,589 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:23:53,595 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:23:58,600 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:24:03,602 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:24:08,607 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:24:13,612 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:24:18,618 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:24:23,621 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:24:28,626 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:24:33,628 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:24:38,634 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:24:43,636 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:24:48,641 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:24:53,647 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:24:58,652 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:25:03,657 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:25:08,662 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:25:13,667 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:25:18,668 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:25:23,673 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:25:28,676 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:25:33,681 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:25:38,687 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:25:43,692 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:25:48,697 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:25:53,702 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:25:58,707 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:26:03,712 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:26:08,717 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:26:13,718 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:26:18,719 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:26:23,724 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:26:28,729 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:26:33,732 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:26:38,738 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:26:43,742 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:26:48,747 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:26:53,750 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:26:58,754 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:27:03,757 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:27:08,758 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:27:13,762 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:27:18,766 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:27:23,771 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:27:28,771 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:27:33,777 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:27:38,782 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
2021-02-06 01:27:43,786 - INFO - {'key3': 'localhost:9090', 'key1': '1.2', 'key2': '1'}
