[2021-02-05 16:25:27.762851] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:25:32.766839] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:25:37.768168] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:25:42.773464] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:25:47.776793] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:25:52.777571] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:25:57.781725] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:26:02.782724] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:26:07.788253] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:26:12.793607] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:26:17.796698] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:26:22.801000] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:26:27.801871] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:26:32.806730] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:26:37.808027] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:26:42.813363] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:26:47.817211] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:26:52.818303] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:26:57.819926] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:27:02.821174] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:27:07.825090] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:27:12.826374] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:27:17.831677] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:27:22.836205] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:27:27.841456] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:27:32.846584] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:27:37.846979] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:27:42.848081] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:27:47.851308] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:27:52.851927] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:27:57.856840] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:28:02.860325] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:28:07.864358] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:28:12.869682] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:28:17.872747] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:28:22.877050] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:28:27.882134] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:28:32.886677] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:28:37.890509] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:28:42.894072] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:28:47.898234] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:28:52.902085] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:28:57.906110] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:29:02.910087] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:29:07.914087] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:29:12.917046] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:29:17.922046] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:29:22.922973] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:29:27.928266] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:29:32.931866] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:29:37.935547] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:29:42.937282] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:29:47.938037] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:29:52.943403] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:29:57.948724] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:30:02.954043] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:30:07.955817] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:30:12.958895] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:30:17.960422] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:30:22.965521] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:30:27.967303] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:30:32.972610] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:30:37.975873] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:30:42.976355] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:30:47.978089] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:30:52.983390] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:30:57.986395] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:31:02.987372] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:31:07.992689] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:31:12.996970] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:31:17.997613] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:31:23.001262] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:31:28.001765] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:31:33.005911] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:31:38.007071] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:31:43.012418] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:31:48.017726] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:31:53.022275] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:31:58.027531] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:32:03.032858] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:32:08.037789] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:32:13.042108] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:32:18.050089] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:32:23.052220] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:32:28.057742] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:32:33.058963] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:32:38.064279] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:32:43.067722] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:32:48.072909] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:32:53.076298] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:32:58.081630] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:33:03.086409] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:33:08.087281] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:33:13.092598] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:33:18.094073] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:33:23.099369] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:33:28.104695] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
[2021-02-05 16:33:33.105294] {'key3': 'localhost:9090', 'key2': '1', 'key1': '1.2'}
